,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
678,Q9Y5K6,CD2AP,1.0579065231524958,1.058831178212815,1.0513748294924259,1.013855378169472,1.065000361193383,1.0075956637231673,1.0467528714873944,1.058831178212815,1.0467528714873944,1.0513748294924259,1.0238676587444917,0.9827564310610016,1.0579065231524958,1.0467528714873944,1.040290042357671
679,Q15020,SART3,1.6280042814050795,1.6280042814050795,0.9970114071642042,1.6527196652719667,1.6527196652719667,1.0199484927805456,1.59615322240602,1.6280042814050795,1.59615322240602,0.9970114071642042,1.541111219227401,1.0029975512961242,1.59615322240602,1.6604716032564626,1.0388204002364267
680,O75821,EIF3G,1.1026192671515898,1.0118941715264735,0.9882456368846054,1.2470887545674965,1.1026819544660802,1.1428986101150838,1.0841614588669193,1.1428986101150838,1.0460116635366214,1.0487996448451318,1.1428986101150838,1.206911860123621,1.1026192671515898,1.0460116635366214,1.0841614588669193
681,Q3YEC7,RABL6,1.0943157570558086,1.0327573867702688,0.9830842370820059,1.0986823291317451,1.0212657192516104,1.1315141116170617,1.1343628324424206,1.1110451175784775,1.0517840711583684,1.1110451175784775,1.1315141116170617,1.1343628324424206,1.0986823291317451,1.0172068295675287,1.142974988451132
682,Q9BXS6,NUSAP1,0.9929772775191786,1.0902423886057755,1.177964376590331,1.1012892281594573,1.1185920271416456,1.1185920271416456,1.0070723899124527,1.0603848164118648,1.1185920271416456,1.0793969685090814,1.1210347752332486,1.1322985581000848,1.1012892281594573,1.0459202714164546,1.1012892281594573
683,Q9UGV2,NDRG3,1.0737549905442318,1.048259438257337,1.0737549905442318,0.9650225714763417,1.0362451921410998,1.0676962947397912,1.0834559081039432,1.0564122110953253,1.0676962947397912,1.0834559081039432,1.0676962947397912,1.048259438257337,1.0624068748050868,1.0473138614554878,1.0770296961086663
684,O95336,PGLS,0.9970251018579256,1.0215043657245975,1.1174939143020948,1.0029837745674917,1.0387040987997782,1.0240740569141098,1.0215043657245975,1.0173125182100997,1.0387040987997782,1.0832542270928691,1.0387040987997782,1.007116580334887,1.0286474242694812,1.0141590296246188,1.0286474242694812
685,Q13287,NMI,1.1370540491165804,0.9907230055615813,1.0638466376278213,1.14306965576637,1.0202184901353333,1.1771928908839417,1.1309079520839316,1.14306965576637,1.0093638629428618,1.1919513531852703,1.1771928908839417,1.1566798026985412,1.14306965576637,1.0093638629428618,1.14306965576637
686,P16930,FAH,0.9784557655612054,1.0355282940753492,1.0897658804360901,1.0267580837406642,1.0319194305022472,1.0319194305022472,1.0220186085023861,1.0229882552894778,1.0319194305022472,1.0699235177478046,1.0393443340003719,1.0393443340003719,1.0267580837406642,1.0257848636945184,1.0267580837406642
687,Q9HAV7,GRPEL1,1.0531082809955803,1.0606972551756222,1.0606972551756222,1.0531082809955803,1.0606972551756222,1.0612497092347057,1.033467908755011,1.0531955105838569,1.040829136767622,1.0531955105838569,1.0612497092347057,1.0695946731798094,0.9676960669271228,1.0333823130804456,1.0177611024722883
688,Q13838,DDX39B,1.0907021736656424,1.089576773769331,1.052009485463034,1.032940075616757,1.0513384671800512,1.0268878294592791,1.0570666262028503,1.0513384671800512,1.0570666262028503,1.052009485463034,1.0513384671800512,0.9911614925080795,1.0570666262028503,1.089576773769331,1.0089173233209001
